0	go, until, jurong, point, crazy, available, only, in, bugis, n, great, world, la, e, buffet, cine, there, got, amore, wat
0	ok, lar, joking, wif, u, oni
0	u, dun, say, so, early, hor, u, c, already, then, say
0	nah, i, dont, think, he, go, to, usf, he, life, around, here, though
0	even, my, brother, is, not, like, to, speak, with, me, they, treat, me, like, aid, patent
0	a, per, your, request, melle, melle, oru, minnaminunginte, nurungu, vettam, ha, been, set, a, your, callertune, for, all, caller, press, to, copy, your, friend, callertune
0	im, gonna, be, home, soon, and, i, dont, want, to, talk, about, this, stuff, anymore, tonight, k, ive, cried, enough, today
0	ive, been, searching, for, the, right, word, to, thank, you, for, this, breather, i, promise, i, wont, take, your, help, for, granted, and, will, fulfil, my, promise, you, have, been, wonderful, and, a, blessing, at, all, time
0	i, have, a, date, on, sunday, with, will
0	oh, kim, watching, here
0	eh, u, remember, how, spell, his, name, yes, i, did, he, v, naughty, make, until, i, v, wet
0	fine, if, thats, the, way, u, feel, thats, the, way, it, gota, b
0	is, that, seriously, how, you, spell, his, name
0	im, going, to, try, for, month, ha, ha, only, joking
0	so, pay, first, lar, then, when, is, da, stock, comin
0	aft, i, finish, my, lunch, then, i, go, str, down, lor, ard, smth, lor, u, finish, ur, lunch, already
0	ffffffffff, alright, no, way, i, can, meet, up, with, you, sooner
0	just, forced, myself, to, eat, a, slice, im, really, not, hungry, tho, this, suck, mark, is, getting, worried, he, know, im, sick, when, i, turn, down, pizza, lol
0	lol, your, always, so, convincing
0	did, you, catch, the, bus, are, you, frying, an, egg, did, you, make, a, tea, are, you, eating, your, mom, left, over, dinner, do, you, feel, my, love
0	im, back, amp, were, packing, the, car, now, ill, let, you, know, if, there, room
0	ahhh, work, i, vaguely, remember, that, what, doe, it, feel, like, lol
0	wait, thats, still, not, all, that, clear, were, you, not, sure, about, me, being, sarcastic, or, that, thats, why, x, doesnt, want, to, live, with, u
0	yeah, he, got, in, at, and, wa, v, apologetic, n, had, fallen, out, and, she, wa, actin, like, spoilt, child, and, he, got, caught, up, in, that, till, but, we, wont, go, there, not, doing, too, badly, cheer, you
0	k, tell, me, anything, about, you
0	for, fear, of, fainting, with, the, of, all, that, housework, you, just, did, quick, have, a, cuppa
0	yup, ok, i, go, home, look, at, the, timing, then, i, msg, again, xuhui, going, to, learn, on, nd, may, too, but, her, lesson, is, at, am
0	oops, ill, let, you, know, when, my, roommate, done
0	i, see, the, letter, b, on, my, car
0	anything, lor, u, decide
0	hello, hows, you, and, how, did, saturday, go, i, wa, just, texting, to, see, if, youd, decided, to, do, anything, tomo, not, that, im, trying, to, invite, myself, or, anything
